향수_이름,향수_notes,향수_설명
자라 조말론 아말피 선레이,"Orange Blossom, Mandarin Orange, Bergamot",귤껍질을 처음에 땄을 때 나는 향기입니다. 군더더기 없이 시원하고 상큼한 귤 혹은 오렌지 그 자체의 향기예요. 사실 이게 좀 단순한 향이긴 합니다만 인위적인 느낌이 없고 매우 가볍기 때문에 여름에 사용하면 너무 잘 어울릴것 같은 향수 라는 생각이 들었어요.
자라 조말론 에보니 우드,"Ebony, Cloves, Pink Pepper",원목 테이블에 쌍화차 조금과 바닐라 라떼 한 컵을 쏟고 스며든 냄새가 나요. 끈적한 달달함이 지배적인 우디향이라고 보시면 될 것 같습니다.
자라 조말론 튜베로즈 느와,"Tuberose, Ylang-Ylang, Sandalwood",약간 스모키하면서도 화이트 플라워 특유의 꾸리꾸리함이 느껴졌어요. 편안하고 단정한 튜베로즈 향입니다.
자라 조말론 베티버 팜플무스,"Graperfruit, Mandarin Orange, Vetiver",아이스크림 생귤탱귤 향이예요! 엄청 상큼하고 시원한 오렌지 향에다가 톡 쏘는 자몽향도 살짝 섞인 듯한 향이에요. 오렌지맛 아이스크림이나 자몽향 탄산음료가 떠오르는 깨발랄한 시트러스 향입니다. 더위와 불쾌감을 날려줄 것 같은 상큼한 향이예요!
자라 조말론 플레르 도랑제,"Neroli, Orange Blossom, Ylang-Ylang",저는 이 향을 오렌지 추출물과 흰꽃으로 만든 비누에서 날법한 향이라고 생각이 들어요.
이솝 에레미아,"Yuzu, Bergamot, Grapefruit, Green Tea, Guaiac Wood, Mimosa, Iris, Galbanum, Patchouli",자연적인 정원이 떠오르는 향이었습니다. 가드닝을 하다가 실수로 흙이랑 풀을 먹은 듯한 기분이 드는 향이에요. 뿌리 식물이나 씁쓸한 나물 같은 것을 생으로 먹었을 때 나는 알싸함과 흙냄새가 많이 납니다. 그리고 거기에 약간의 자몽과 유자가 더해져서 상큼함이 살짝 숨어 있어요.
이솝 미라세티,"Black Pepper, Pimento Leaf, Mate, Ambrette (Musk Mallow), Styrax, Labdanum, Seaweed, Myrrh, Cedar","처음에는 약초 더미가 떠오르는 스파이시한 향이 확 나고 짭조름한 바다의 짠내가 함께 느껴집니다. 돌과 바위가 많은 장엄한 바다의 분위기입니다. 오크통 안에서 숙성되고 있는 위스키 향이 나는데, 술냄새 보다는 우디 향이 더 많이 나요. 낯선 나라에 바닷가를 걷다가 오래된 술 저장고를 발견했다고 상상해보세요. 위스키가 들어있던 낡은 오크통에는 소금기가 베여있고 어둑한 공간 너머 불 피우는듯한 향기였습니다. 전반적으로 바다내음이 분명히 느껴졌습니다. 비릿한 느낌을 별로 없지만 스모키한 향 덕분에 고소한 느낌의 스파이시 우디 향이라고 느껴집니다. 저는 영화 라이프 오브 파이가 생각 났는데요, 끝없이 펼쳐진 수평선을 고독하게 탐험하는 신비로운 이미지가 느껴지는 향수랍니다."
이솝 카르스트,"Juniper, Bergamot, Pink Pepper, Rosemary, Sage, Cumin, Vetiver, Sandalwood, Cedar","청량한 물 향이 나는 향수입니다. 산 꼭대기의 깨끗한 호수가 떠오르는 향일까요. 로즈마리 등의 허브 향도 매력적입니다. 뿌리자마자 마린 향이 나기 때문에 첫 향이 남자향수처럼 느껴질 수도 있을 것 같습니다. 첫 향은 프레시 하지만, 잔향은 포근하고 소프트하게 마무리 됩니다."
이솝 마라케시,"Cardamom, Clove, Sandalwood","중동의 어느 나라에 있는 형형색색 강렬한 색감으로 가득 찬 상점을 상상해 보세요. 중동 특유의 이국적인 향이 후각을 자극 할 것이고, 무질서한 듯 질서있게 진열된 쿰쿰한듯한 중동의 오브제들과 후각을 얼얼할 정도의 이국적인 향신료 향이 함께 나는 매혹적인 향입니다. 모로코의 향신료 시장에 온 듯한 매혹적인 향 같기도 합니다."
이솝 테싯,"Yuzu, Citruses, Basil, Vetiver, Cloves","처음에는 여러 가지 풀과 나무 꽃들이 뒤섞여 있는 자연의 냄새가 납니다. 사람이 잘 관리하고 있는 대형 온실에 들어온 듯한 향입니다. 유자의 톡쏘는 냄새도 나는데요, 이때 나는 유자 향은 우리가 흔히 먹는 달달한 유자차의 향과는 거리가 멀다고 느껴집니다. 바질 향이 많이 섞인, 푸릇푸릇하고 허브향에 가까운 유자향에 가깝죠. 시간이 더 지나면 차분한 나무 냄새만 남습니다. 첫향과 잔향이 드라마틱하게 다른 편입니다."
이솝 휠,"Spices, Thyme, Cypress, Woody Notes, Vetiver, Olibanum, Oakmoss","깊은 숲속의 향', '사찰의 나무향' 등으로 알려져 있는 향수입니다. 숲에는 나무 뿐만 아니라 풀이랑 꽃 이파리도 많아야 하지만, 다크한 나무 냄새와 흙냄새가 굉장히 지배적으로 느껴집니다. 편백나무로 만든 가구 냄새라고 하겠습니다. 다른 장르 향이 전혀 느껴지지 않고 나무 냄새에만 집중한 향수 같습니다."
이솝 로즈,"Rose, Shiso, Pink Pepper, Bitter Orange, Bergamot, Guaiac Wood, Jasmine, Ylang-Ylang, Sandalowood, Vetiver, Patchouli, Myrrh, Musk",장미가 메인인 향수인데 막상 맡아보면 우리가 일반적으로 알고 있는 장미 향을 잘 느껴지지 않고 우디 향이 더 지배적입니다. 이 향수는 마치 아로마 오일에 푹 절인 장미와 줄기를 나무로 된 용기에 오랫동안 담아놓은 듯한 향입니다. 잔향은 파우더리하기 때문에 부드러우면서도 강렬한 장미 향수입니다.
크리드 윈드플라워즈,"Jasmine, Orange Blossom, Peach, Jasmine Sambac, Tuberose, Rose, Orange Blossom, Musk, Praline, Iris, Sandalwood","이 향수는 화사한 꽃향기가 나긴 하지만 샌달우드의 나무향도 꽤나 느껴지고, 과일향이 막 달달한 과즙향 이런 느낌이 아니라 약간 좀 샤프하게 톡 쏘는 느낌이라서요. 아무것도 모르는 순진한 공주야 이런 이미지로 다가오진 않습니다. 뿌린 직후부터 향이 없어질 때까지 자스민이나 튜베로즈, 오렌지블라썸 등의 화이트 플라워 향이 일관성 있게 쭉 이어지는 향수인데요, 거기에다가 약간 그 누가 캔디 같은 향이 섞였어요. 하얀 색깔 누가가 좀 엿같이 생겼어도 먹어보면 막 끈적이지 않고 되게 깔끔한 단맛이 있는 디저트잖아요. 윈드플라워스에서도 그런 누가의 향이 나는데 그 누가를 녹여가지고 거기에 핑크빛 꽃잎 추출물을 섞어서 스무스하게 문지르는듯한 모습이 연상되는 향이 납니다. 그리고 여기에 약간의 우디향과 톡 쏘는 느낌도 있어서 향이 느끼하지 않아요. 이 향수는 프레시한 플로럴 계열이에요. 촉촉함이랑 보송함이 공존하고 있는 꽃향기고요. 단정하긴 하지만, 약간의 포인트나 파스텔톤의 색감을 즐기는 스타일을 자주 입는 사람이 떠오릅니다. 사회적이고 모던한 이미지일 것 같아요. 항상 자신감있고 자기표현이 확실한 사람이 떠올라요. 여유롭고 안정적으로 향이 전개가 되고 여러 향조들이 막 이리저리 충돌하지 않고 유려하게 흘러간다는 점에서 올리비아 크리드가 의도했던 바람을 타고 움직이는 무용수의 움직임이라는 영감을 좀 후각적으로 잘 구현했다는 생각이 들어요."
비디케이 312 생또노레,"Pink Pepper, Angelica Root, Iris, Orange Blossom, Tonka Bean, White Musk, Ambroxan, Ambrostar™, Thailand Oud",첫 향은 핑크 페퍼 안젤리카 루트가 톡톡 터지는듯한 느낌이에요. 이런 핑크페퍼 향이 자체 너무 스파이시 해서 향신료 냄새처럼 느껴질 수도 있어요. 달콤한 오렌지 블라섬 향이 들어오고 마치 오렌지 블라썸 꽃을 바닐라 파우더로 곱게 간 느낌이 납니다. 잔향은 트렌디한 무드의 우디 머스크향으로 남아요. 포근하게 깔리는 그런 머스키한 향이라고 생각하시면 될 것 같아요.
어비어스 뮈스끄,"Italian Bergamot, Ginger, Haitian Vetiver, Iran Galbanum, Amyris, Musk, Helvetolide, Ambrettolide","머스키 플로럴 향으로, 정말 산뜻하고 부담없고 진입 장벽이 낮은 향수라고 생각해요. 이 향은 그냥 좋다가 연발될 수밖에 없고 깨끗하고 약간 공기 같기도 한 느낌이에요. 나는 살냄새가 있다면 딱 이런 향이지 않을까라는 생각이 들어요."
비요크 앤 베리스 피얄쇠,"Cotton Flower, Freesia, Ambrette (Musk Mallow), Water Lily, Magnolia, Musk, Ambroxan, Amber",처음에 뿌리면 메그놀리아 아던 워터릴리 같은 달콤한 꽃으로 만든 비누 향기가 나요. 스웨덴의 청정 1급수 물로 씻어낸 느낌이죠. 이 향은 깨끗한 물인데 물이 파란 하늘이 비쳐서 살짝 푸른 빛이 넘실거리는 호수 같은 느낌을 표현한 향이에요.
도르세 에흐베,"Aldehydes, Pink Pepper, Cashmeran, Turkish Rose, Freesia, Musk, Incense, Sandalwood","장미 비누의 천상계 같은 향이에요. 장미 비누는 편안하고 익숙하고 살냄새 같다는 장점이 있지만, 이 향은 그 편안함과 안정감을 주되 약간의 생장미 바이브도 있어요. 생장미의 이슬도 촉촉하게 맺혀 있을 것 같고, 살짝의 흙내음과 우디 내음도 함께 느껴져요. 이 향은 사랑하는 연인과 미래를 그릴 때의 설렘을 표현한 향이에요."
도르세 지에르,"Clementine, Cardamom, Grapefruit, Iris, Lilac, Musk, Narcissus, Sandalwood, Cedar","수선화 꽃을 중심으로 스파이시한 카바몬 향도 나고, 머스키 우디 향도 베이스에 깔려 있어요. 대담한 느낌이 들면서도 약간 절제된 멋스러운 향이라고 생각해요. 꽃다발 중에서도 나뭇가지와 장식된 그런 꽃다발의 느낌이 남녀에게 날법한 향기로 느껴져요."
모스키노 토이 보이,"Pink Pepper, Pear, Indonesian Nutmeg, elemi, Bergamot, Rose, Clove, Magnolia, Flax, Cashmeran, Haitian Vetiver, Sandalwood, Sylkolide, Amber","키치하고 달달한 바닐라 요런 게 날 줄 알았거든요. 뭐 진흙이 묻어 있는 것 같은 붉은 장미향이랑 톡 쏘는 스파이시 향이 어우러진 향기입니다. 레드 와인 같은 짙은 적색이 떠오르는 장미향이랑 톡 쏘는 냄새가 나는 갈색 향신료 냄새랑 약간의 새콤한 과일 향기 이런 게 되게 복합적으로 나거든요. 어쨌든 그 장미향의 막 눅눅한 진흙을 치덕치덕 바르고 흙 냄새가 나는 날린 과일이랑 나무 냄새가 나는 그런 느낌입니다. 전체적으로 다크하고 좀 분위기 있는 향인데요, 그렇다고 묵직하진 않습니다. 따스한 날씨에 써도 답답하지 않은 듯한 향기예요. 이렇게 우디 스파이시 기반의 플로럴 향을 투박하지 않게 표현한 향수는 대체로 비싼 니치 향수들인데, 가격대비 정말 잘 만들어진 향수라고 생각해요."
아뜰리에 코롱 러브 오스만투스,"Italian Lemon, Chinese Osmanthus, Cedar","귤의 향이 나고 약간 로디스러운 그런 냄새가 나는 향으로, 방에 퍼진 오렌지 마크 같은 느낌이 있어요. 시트러스 향과 약간의 플로럴 향이 더해져 독특하고 무난한 향으로 느껴집니다."
밀러 해리스 미리카 뮤즈,"Strawberry, Pink Pepper, Myrica, Tangerine, Rum, Patchouli, Rose, Jasmine, Lily-of-the-Valley, Vanilla, Musk, Sandalwood, Benzoin, Amber",샴페인을 마시면서 딸기도 같이 집어 먹고 있는듯한 그런 기분이 들게 하는 향인 것 같아요.
펜할리곤스 더 댄디,"Raspberry, Citron, Bergamot, Oak, Whiskey, Cedarwood, Patchouli, Clearwood",직관적이지만 독하지 않은 위스키 향이랑 멋스러운 우디향이 나는데 탑노트의 라즈베리 베르가못 요런 향조를 덕분에 너무 진지하게 막 분위기를 잡고 있는 느낌이 아니라 그냥 술 한 잔 들고 좋은 느낌?
메모 파리 로즈 파리 로즈,"Rose, Davana, Guaiac Wood",달달한 포도 향이랑 우디향이 섞인 레드 와인이 떠올랐어요. 저 향을 낭만적으로 표현하자면 파리의 예쁜 노상 카페에서 레드 와인을 마시고 있는 모습이 떠오르는 포도 향이라고 할 수 있겠습니다.
크리드 버진 아일랜드 워터,"Coconut, Lime, White Bergamot, Sicilian Mandarin, Ginger, Ylang-Ylang, Indian Jasmine, Hibiscus, White Rum, Sugar Cane, Musk",톡 쏘는 라임 주스랑 코코넛 크림 말리부 럼 이런 거 넣어서 만든 피나콜라다 같은 향이에요. 근데 그 피나콜라다가 굉장히 고급진 그런 향입니다.
톰포드 비터 피치,"Peach, Blood Orange, Cardamom, Heliotrope, Rum, Cognac, Davana, Jasmine,  Vanilla, Indonesian Patchouli Leaf, Tonka Bean, Sandalwood, Benzoin, Cashmeran, Styrax, Labdanum, Vetiver",키치하고 섹시한 술에 절여진 복숭아 향입니다.
조보이 파빌리온 루즈,"Whiskey, Rum, Spices, Sesame, Tobacco, Leather, Coffee, Tea, Ebony, Vanilla, Benzoin","럼과 위스키 타바코 향에 이끌린 해적의 향이라는 컨셉을 가진 향수인데, 진짜 딱 그 컨셉대로 뭔가 캐리비안의 해적에 나오는 잭스패로 같은 그런 이미지가 떠올라요. 정말 능수능란하고 어딘가 나사 빠져있는 것 같지만 그런 모습이 오히려 매력적이고 익살스럽고 섹시한 사람이 떠오르는 향입니다."
만세라 로얄 바닐라,"Rose Water, Rose, Citruses, Rhubarb Leaf, Violet, Caramel, Rose Petals, Orange Blossom, Vanilla, Amber, Patchouli Leaf, White Musk",중동 부자틱한 느낌이 굉장히 많이 납니다. 담배값을 딱 열었을 때 느껴지는 그 특유의 향이랑 럼과 위스키 향 같은게 같이 나는 거 같아요.
부시 더블엑스 러브,"Cherry, Candy, Jasmine, Acasia, Rose, Vertofix, Amber","진한 잭콕에다가 달달한 체리 사탕을 가득 녹인 느낌이 들었어요. 되게 농도가 짙은 체리, 위스키 향에다가 약간의 플로럴 향이 더해졌거든요. 전반적으로 향이 강하면서도 키치한 느낌입니다. 키치한 스타일이나 자유로운 파티룩에 잘 어울릴 것 같아요."
킬리안 롤링 인 러브,"Almond Milk, Ambrette (Musk Mallow), Iris, Freesia, Heliotrope, Peony, Hedione, Raspberry, Tuberose, Vanilla, Tonka Bean, Musk, Lactones, Caramel",체리와 아몬드로 만든 밀크 캐라멜이 파우더리한 머스크를 만난 느낌.
산타마리아노벨라 타바코 토스카나,"Tobacco Leaf, Bergamot, Amber, Birch, Leather, Vanilla, Sandalwood, Guaiac Wood, Cedar, Musk",타바코 향이 되게 고급스럽게 나오면서 많이 달지 않은 바닐라가 부드럽게 싹 감싸 주는 느낌입니다. 입문용 시가를 한 대 피우면서 좋은 집에서 쉬는 느낌을 자아내요.
아르마니 뷰티 프리베 베르 말라키트,"Bitter Orange, Petitgrain, Jasmine Sambac, Ylang-Ylang, Pink Pepper, Lily, Vanilla, Benzoin",아주 화려하고 볼륨 있는 화이트 플라워 꽃다발에다가 바닐라빈을 듬뿍 넣은 바닐라크림을 싹 바른 느낌의 향이라고 할 수 있습니다.
엑스니힐로 베스퍼 글리츠,"Neroli, Mandarin Orange, Pink Pepper, Ylang-Ylang, Mimosa, Jasmine, Vanilla, Musk, Tonka Bean, Cedar","왠지 막 벨벳, 오간자 이런 소재의 옷 입고 드레스업 한껏 하고 막 반짝반짝하게 금빛으로 반짝이는 파리의 야경을 보면서 쾌활하게 걸어가고 있는 여자가 된듯한 그런 착각에 빠지게 해주는 향입니다."
크리드 카미나,"Black Cherry, Saffron, Pink Pepper, May Rose, Peony, Violet, Cashmere Wood, Musk, Ambroxan, Myrhh, Frankincense",블랙 체리랑 말린 장미 꽃잎 그리고 샤프란을 넣어서 바디 버터를 만든다면 딱 저런 향일 거 같아요. 그정도로 체리향은 분명히 나지만 그 체리가 산미는 거의 없고 달콤하기만 한 느낌이에요. 설탕이나 시럽에 절인 체리는 아닌 것 같은 느낌.
나르시소 로드리게즈 머스크 느와르 로제,"Plum, Musk, Heliotrope, Suede",달달하게 절여진 자두 향에다가 고혹적인 꽃 향기 거기에 특유의 도시적인 머스크향이 곁들여진 향수 같습니다.
로이비 피오니 앤 화이트 머스크,"Cassis, Grapefruit, Peony, Bulgarian Rose, White Musk, Orris","몽글몽글한 비누 거품 같은 느낌도 있고, 깨끗한 섬유유연제를 물에 푼 것 같은 느낌도 있어요. 장미 샴푸향을 좋아하시는 분들도 마음에 들어 하실 만한 향이에요. 아주 맑은 화이트 머스크향이 곁들여져서 정말 우리나라 사람들이 딱 좋아할 스타일의 향입니다. 따뜻한 물로 목욕을 한 다음에 화이트 머스크 향에 부드러운 로션을 바르고 있을 때 날 것 같은 향긋한 살냄새 비누 냄새입니다. 순수한 느낌이면서 포근한 비누향을 원하신다면 정말 추천을 드려요."
더 머천트 오브 베니스 마이펄,"Violet Leaves, Cassis, Pink Pepper, White Flowers, Rose, Lily-of-the-Valley, Tonka Bean, Mahonial, Sandalwood, Sylkolide, Cedar",도브 비누가 되게 파우더리해진 버전의 향으로 느껴집니다. 굉장히 클래식한 느낌의 향이고 유행을 타지 않는 비누향이에요. 하얀색 도브 비누 냄새 30%에다가 포슬포슬한 베이비 파우더 향 30%에다가 니베아 크림 냄새 30%에다가 굉장히 부드럽고 달콤한 꽃향기 10%로 이루어진 향이라고 생각해요.
샤넬 베쥬레 젝스클루시프 드 오 드 빠르펭,"Frangipani, Honey, Freesia, Hawthorn",천연 꿀로 만든 향긋한 비누 같은 향이 나서 너무 좋더라고요. 전체적으로 복잡하지 않고 꿀 향기와 프랑지판이나 프리지아와 같은 꽃향기가 느껴집니다. 고전적이고 무게감이 있는 향이면서도 약간의 활기와 밝은 에너지를 불어 넣어주는 역할을 해주죠.
산타마리아노벨라 아이리스 오드 퍼퓸,"Orris Root, Violet",살짝 칠이 벗겨진 흰색 벽에서 날 것 같은 향이었어요. 쌉싸름한 꽃 향기가 굉장히 희뿌연 환경에 쌓여 있는 내롤리 향과 섞여 시작합니다. 꽃비 모양이 슬며시 드러나고 마른 풀에 보라색 꽃을 넣어서 만든 것 같은 비누향이에요. 살짝 더스티하고 한풀 꺾인 꽃의 느낌입니다.
조말론 히노키 앤 시더우드,"Hinoki, Cedarwood",삼림욕을 하다가 마주친 땅속 깊이 자리 잡은 오래된 편백 나무라는 컨셉의 향인데요. 히노끼 탕에 들어간듯한 릴랙싱 되는 우드향이 싹 퍼지면서 연필심 냄새 같은 시더우드 양도 곁들여 졌습니다. 그리고 뾰족뾰족한 사이프러스 나무가 가득가득한 곳에서 아로마향이 나는데 이 향이 정말 신선하다 못해 얼얼하게 아지 하거든요. 그래서 숲속 편백나무 사우나에서 수정과나 콜라를 마시는 기분이 들기도 해요. 그래서 이 향을 색으로 표현하자면 무조건 짙은 고동색과 짙은 녹색으로 이루어진 향이라고 생각을 했고요. 진한 우디향과 쿨한 풀 바람의 조화가 멋들어집니다.
산타마리아노벨라 아쿠아,"Pear, Lotus, Freesia, Musk","이 향은 막 이태리의 아름다운 정원 한 가운데 있는 큰 대리석 분수에서 투명한 물을 뿌리고 있는 거예요. 분수대에는 연꽃과 프리지아가 떠 있습니다. 게다가 저 멀리 배나무가 있어서 스위트한 배향이 정원을 가득 채우는 느낌 딱 그런 무드에요. 요거를 처음에 뿌렸을 때 즙 많은 서양배 떠오르는 달콤한 프루티 향이 나고요, 바로 깨끗한 프리지아와 연꽃 향이 납니다. 수련이 이렇게 물기를 머금고 있는 보드라 꽃 향기다 보니까 여기에서도 워터리한 바이브가 많이 느껴지고요. 잔향에서 파우더리한 머스크향이 남습니다."
산타마리아노벨라 퀘르치아,"Lavender, Vetiver, Patchouli, Oak",딱 뿌리자마자 라벤더 향이 굉장히 농축된듯한 느낌으로 퍼집니다. 굉장히 농축된듯한 느낌으로 퍼집니다. 코가 뻥 뚫리는듯한 화 정도로 상쾌한 라벤더 향이 훅 들어오고요. 곧이어서 나무 흙 입사기 요런 느낌을 표방하는 향조이 무성하게 몰려와요. 패출리 베티버 오크우드 요런 향들이 단단하게 자리 잡고 있기 때문에 지금까지의 산타마리아 노벨라 향수들 그래는 흔치 않았던 푸제르 계열의 향수로 완성 됐습니다.
사브리나카펜터 스위트 투스,"Marshamallow, Chocolate, Candied Ginger, Bergamot, Madagascar Vanilla, Coconut Milk, Jasmine, Whipped Cream, Sugar, Musk, Cashmere Wood","문장으로 표현하자면 코코넛 마시멜로를 초코 퐁듀에 콕 찍어 먹는 느낌의 향입니다. 뿌리자마자 초콜릿 마시멜로우 향이 나고 점점 코코넛과 바닐라향, 그리고 설탕에 절린듯한 머스크향으로 이어지는 향수입니다. 딱 사브리나 같은 어리고 러블리하고 꾸미는 거 좋아하는 친구들이 디저트 먹으면서 장난치고 있는듯한 모습을 연상케 하는 향입니다."
르라보 라다맘18,"French labdanum, Vanilla, Civetta, Musk, Resins, Castoreum, Tonka Bean, Gurjan balsam, Patchouli, Birch, Cinnamon","겨울에 사용하기 너무 좋은 포근하고 아늑한 향이예요. 머스크 향을 좋아한다면 꼭 한번 맡아 볼 만한 향수인 것 같습니다. 이 향수가 딱 피부에 스며들면 정말 캐시미어처럼 부드럽고 따뜻하면서 어딘가 모르게 동물적인 잠재력까지 숨어있는듯한 그런 수수께끼 같은 매력이 느껴집니다. 처음 뿌렸을 때는 오래된 나무 상자에 시큼한 냄새가 나는 무언가가 들어있는듯한 모습이 연상되는 향이 났고, 계피 냄새도 확 나서 강하고 어려운 느낌이 들었습니다. 하지만 시간이 지나니까 첫 향과는 달리 향이 진짜 포근하고 좋아지는 거예요. 찬바람 불 때 묵직하고 포근한 머스크향이 나면 매향에 자아도취되는 느낌이 듭니다. 첫 향으로만 판단하면 안 되는 향수구나 생각이 들었습니다. 향수를 처음 뿌리고 나서 한 10분 정도 지나면 포슬포슬한 베이비 파우더 향이 솔솔 올라오고, 르라보 라다모의 파우더리함은 베이비 파우더 향이긴 하지만 마냥 애기애기 하기만 한 그런 스타일은 아닙니다. 뭔가 어둑어둑한 곳에서 인센스를 피우는듯한 오리엔탈한 향도 섞여 있고, 앤틱한 나무 냄새와 달달한 바닐라 파우더, 시나몬 가루를 뿌린 것 같은 다양한 원료가 섞여 있는 향입니다. 약간 꼬릿한 애니멀리한 향도 은근하게 느껴집니다. 달콤한 간식이 만들어지고 있는 아늑한 공간에서 도톰하고 따뜻한 옷 입고 강아지나 고양이 같은 반려동물을 쓰담쓰담 하면서 너무 편안한 시간을 보내고 있는듯한 그런 모습이 연상되는 향입니다. 벌키하고 무게감 있는 너무너무 잘 어울리는 향이고, 패딩에 어울리는 향입니다. 남녀 모두에게 잘 어울릴 중성적인 향이고, 가을 겨울에 너무너무 잘 어울리는 향이에요."
퍼퓸드말리 까실리,"Red Currant, Floral Notes, Bulgarian Rose, Frangipani, Plum, Petalia, Mimosa, Vanilla, Tonka Bean, Sandalwood","러블리한 인간 복숭아를 만들어질 것 같은 향이에요. 뽀용한 피치빛의 화장한 컬러로 메이크업을 딱 하고 긍정적인 바이브를 마구 내 뿜는 사람이 떠오르는 향이라고 생각을 했습니다. 밀키한 복숭아가 떠올랐거든요. 복숭아 향조가 포함되어 있지 않아요. 달콤한 과일, 싱그러운 파스텔톤의 꽃, 그리고 부드러운 우디 바닐라 향이 맛있게 어우러져서 복숭아 요거트가 떠오르는 향수로 받아들여졌습니다. 사랑 가득 받고 자라서 구김살 없는 여자가 떠오르는 이미지예요."
퍼퓸드말리 그린리,"Green Apple, Calabrian bergamot, Mandarin Orange, Petitgrain, Cedar, Cashmeran, Pomarose, Violet, Oakmoss, Musk, Amberwood",마치 쾌청한 봄날에 숲 속을 산책하는듯한 행복감을 선사해 주는 향입니다. 흐르는 물로 깨끗하게 세척한 청사과를 한가득 바구니에 넣고 피톤치드 가득한 숲속을 걷고 있다면 딱 이 향일 것 같아요. 잔향이 느껴지는 향이 좀 치유적인 느낌을 줍니다. 아주 청량하고 자연적인 향이기 때문에 SS 시즌에 정말 잘 어울리고요.
퍼퓸드말리 레이튼,"Apple, Lavender, Bergamot, Mandarin Orange, Geranium, Violet, Jasmine, Vanillla, Cardamom, Sandalwood, Pepper, Guaiac Wood, Patchouli",성숙하고 관능적인 이미지의 향이라고 할 수 있습니다. 전반적으로 알싸고 강렬한 향이기 때문에 이 향을 뿌리면 어디서든 자신의 존재감을 숨길 수 없을 것 같아요. 은근히 달콤하고 부드러운 느낌도 있거든요.
조말론 다크 엠버 앤 진저 릴리 코롱 인텐스,"Ginger, Black Cardamom, Pink Pepper, Water Lily, Orchid, Jasmine, Rose, Sandalwood, Black Amber, Kyara Incense, Patchouli, Leather","중성적으로 쓰기 좋은 향인데, 이 향이 나는 여자는 레더나 부츠 같은 스타일일 것 같고, 목선이 예쁠 것 같아요. 그런 여자는 화장도 음영이 있는 느낌으로, 스무키 메이크업을 하고 부시시한 머리를 하고 있을 것 같아요. 향이 세지 않고, 파우더리한 느낌이 없어서 밸런스가 좋고, 인조적이지 않으면서 자연스러운 느낌이 드는 향입니다."
구딸 르 떵 데 헤브,"Neroli, Bergamot, Myrtle, Orange Blossom, Floral Notes, Bran, Sandalwood","사람 뒤에 아우라를 만들어 주는 향이고, 몽글몽글한 느낌이 들어. 나비가 날아다니는 것 같은 느낌이 드는 향입니다."
디에스앤더가 보우메이커스,"Mahogany, Resins, Woody Notes, Pine Tree, Maple, Leather, Walnut",평소에 엄청 트렌디하고 약간 퇴폐미 있는 분이 템플 스테이에 간 느낌이 들어요. 바지랑 상의랑 핏 조절을 기가 막히게 잘한 사람에게 굉장히 잘 어울릴 것 같아요. 새로운 향인데 내 캐릭터를 만들 수 있는 향입니다. 향태기를 없애 주는 향 같은 느낌이 드는 것 같아요.
데메테르 키튼 퍼,"Musky, Powdery, Sweet","고양이 털 냄새가 나는 향수로, 고양이 털의 느낌을 매우 잘 표현하고 있어요. 뽀송뽀송한 하얀색이나 분홍색의 느낌이 떠오르고, 반려동물의 향기를 연상시켜요! 과거의 경험을 떠올리게 하는 독특한 향으로, 고양이를 봤을 때의 느낌이 느껴지기도 합니다."
에따 리브르 도랑쥬 위대한분비물,"Seaweed, Milk, Coconut, Iris, Opoponax, Sandalwood","이 향수는 인간의 본능적인 아드레날린을 형상화한 것이라고 하는데, 매우 복잡하고 실험적인 향을 지니고 있어요. 강렬하고 독특한 향으로, 약간의 역겨움이 느껴지기도 하며, '토할 때 맡았을 냄새'라는 표현으로 어떤 불쾌감을 전할 것 같아요... 신선한 마린 냄새가 느껴지기도 하지만, 그 속에 극단적인 강한 향이 섞여 있어 복잡한 느낌을 줍니다."
파누즈 파출리 피그,"Fig Leaf, Pear, Rhubarb, Fig Nectar, Jasmine, Patchouli, Cacao, Amber, Cedar","특이한 향이 나며, 어떤 향수를 사용했을 때의 느낌을 떠올리게 해요. 약한 여름의 질 냄새가 나는 것 같고, 허브의 향이 느껴져요. 마치 병원에서 처방받은 것 같은 향이 나고, 불도 섞인듯 향이 느껴지기도 하구요. 매우 이상하고 강렬한 향으로, 이런 향이 존재할 수 있을까 하는 의문을 자아냈습니다."
엑스노힐로 베스퍼 글리츠,"Neroli, Mandarin Orange, Pink Pepper, Ylang-Ylang, Mimosa, Jasmine, Vanilla, Musk, Tonka Bean, Cedar","빛나고 쾌활한 파리의 밤을 기념하는 향수입니다. 밝고 소프트한 향이에요. 사랑이 넘치는 밤의 향기를 표현한 것이구나라는 생각이 들었죠. 뿌린 직후에는 톡톡 튀는 핑크페퍼랑 상큼한 시트러스 향이 곁들여진 미모사 향기가 나요. 매혹적인 미모사 향이랑 자스민, 일랑일랑 등의 꽃 향기도 퍼집니다. 이때 옐로우 플라워 향들이 금빛으로 빛나는 파리의 밤을 연상케 하고요. 잔향에서의 소프트하고 따뜻한 바닐라, 머스크 통합인 향들이 파리라는 도시를 떠올렸을 때 생기는 그 로맨틱하고 몽글몽글한 감성을 표현하는 것 같았습니다."
